상품코드|상품명|수량|분류1|분류2|등록일시,,
2100000626052|송염고은단치약130*3||020301|01042|2021-01-26 18:01:54,,
2100000626069|2080어린이딸기향80*2|3입       |020101|06007|2021-01-26 18:01:54,,
2100000626076|LG토디앙황토특대/40p|40p       |020402|01051|2021-01-26 18:01:54,,
2100000626083|참기름자반볶음번들|50g+50g   |010301|09999|2021-01-26 18:01:54,,
2100000613007|할라페뇨슬라이스|540g      |010903|09999|2021-01-26 18:01:54,,
2100000613014|바다장어(은장어)채|170g      |030401|09033|2021-01-26 18:01:54,,
2100000613021|오징어왕다리|150g      |030401|09033|2021-01-26 18:01:54,,
2100000613038|조미장어포|170g      |030401|09033|2021-01-26 18:01:54,,
2100000613045|부광/시린메드칫솔|부드러운모|020101|09999|2021-01-26 18:01:54,,
2100000613052|라이스데이유2*1 |2+1입     |020101|09999|2021-01-26 18:01:54,,
2100000613069|[비누]라이스데이(유)|100G      |020101|09999|2021-01-26 18:01:54,,
2100000613182|꿀꽈배기90g*30입박스||010101|01043|2021-01-26 18:01:54,,
2100000613410|롯데명가찰떡아이스|1300      |010403|05007|2021-01-26 18:01:54,,
2100000613427|미등록상품||999999|99999|2021-01-26 18:01:54,,
2100000613434|미등록상품||999999|99999|2021-01-26 18:01:54,,
2100000625444|카페베네카페라떼|200ml     |010201|99584|2021-01-26 18:01:54,,
2100000625451|페리오)여행칫솔세트||020101|09999|2021-01-26 18:01:54,,
2100000625468|듀페허니진저쿠키3000||010101|01062|2021-01-26 18:01:54,,
2100000625475|롯)포테라감자크림|1500      |010101|01062|2021-01-26 18:01:54,,
2100000625482|드롭탑카라멜마키야토|250ml     |010201|08244|2021-01-26 18:01:54,,
2100000625499|카페드롭탑카페모카|250ml     |010201|08244|2021-01-26 18:01:54,,
2100000625604|미니자유시간12000||010101|01019|2021-01-26 18:01:54,,
2100000625789|생강가루||999999|01242|2021-01-26 18:01:54,,
2100000628193|려뿌리볼륨샴푸400+18|400+180   |020101|01042|2021-01-26 18:01:54,,
2100000628209|려흑운모뿌리볼륨린스|400ml     |020199|01042|2021-01-26 18:01:54,,
2100000628216|려청아딥클렌징린스|400ml     |020101|01042|2021-01-26 18:01:54,,
2100000628223|함빛극손상케어기획|400+180g  |020101|01042|2021-01-26 18:01:54,,
2100000628230|함빛극손상케어린스|400ml     |020101|01042|2021-01-26 18:01:54,,
2100000628247|려진생토탈중건성기획|400g*180  |020101|01042|2021-01-26 18:01:54,,
2100000628254|려토탈지성샴푸400+18|400+180   |020101|01042|2021-01-26 18:01:54,,
2100000628469|참이슬후레쉬1.8L*6|1.8L*6    |010801|01048|2021-01-26 18:01:54,,
2100000628476|참이슬후레쉬포켓BOX|200ml*20  |010801|01048|2021-01-26 18:01:54,,
2100000628483|처음처럼순한360ml*20||010801|01048|2021-01-26 18:01:54,,
2100000628490|처음처럼지함360ML*20||999999|01048|2021-01-26 18:01:54,,
2100000628506|삼양나가사끼짬뽕소컵|30입      |010306|01049|2021-01-26 18:01:54,,
2100000628513|불낙볶음면멀티박스|멀티5입*8 |999999|01073|2021-01-26 18:01:54,,
2100000628520|불닭볶음면큰컵16입|1박스     |010306|09999|2021-01-26 18:01:54,,
2100000608232|농)강글리오꿀사과10P||010601|01043|2021-01-26 18:01:54,,
2100000608386|조지아스윗아메리카노|275ml     |010601|05017|2021-01-26 18:01:54,,
2100000608393|조지아에스프레소라떼|270ml     |010601|05017|2021-01-26 18:01:54,,
